file,action,start,end,note
00_prep.mp4,预备势,00:00,00:40,可选导入，用于训练前准备
01_shuangshoutuotian.mp4,第一式 双手托天理三焦,00:40,02:14,建议绑定八段锦第一式
02_zuoyoukaigong.mp4,第二式 左右开弓似射雕,02:14,03:42,建议绑定八段锦第二式
03_tiaolipiwei.mp4,第三式 调理脾胃须单举,03:42,04:56,建议绑定八段锦第三式
04_wulaoqishang.mp4,第四式 五劳七伤往后瞧,04:56,06:06,建议绑定八段锦第四式
05_yaotoubaiwei.mp4,第五式 摇头摆尾去心火,06:06,07:45,建议绑定八段锦第五式
06_liangshoupanzu.mp4,第六式 两手攀足固肾腰,07:45,09:52,建议绑定八段锦第六式
07_cuanquannumu.mp4,第七式 攒拳怒目增气力,09:52,10:52,建议绑定八段锦第七式
08_beihouqidian.mp4,第八式 背后七颠百病消,10:52,11:42,建议绑定八段锦第八式
09_shoushi.mp4,收势,11:42,12:06,可选导入，用于训练结束收尾
